#Cell=As
#AsShutter=open
#AsSUB=	4.000000E+2
#AsCracker=	8.500000E+2
#AsValve	mBG	mP	BEP
#Cell=As
#AsShutter=open
#AsSUB=	4.000000E+2
#AsCracker=	8.500000E+2
#AsValve	mBG	mP	BEP
2.000000E+2	1.940300E-10	1.870200E-6	1.870006E-6
2.000000E+2	5.370700E-9	1.973200E-6	1.967829E-6
2.000000E+2	7.651600E-9	2.002900E-6	1.995248E-6
2.000000E+2	7.031200E-9	2.022100E-6	2.015069E-6
2.050000E+2	8.048400E-9	2.216600E-6	2.208552E-6
2.050000E+2	9.366800E-9	2.231500E-6	2.222133E-6
2.050000E+2	1.037400E-8	2.255700E-6	2.245326E-6
2.050000E+2	1.136400E-8	2.265900E-6	2.254536E-6
2.100000E+2	1.236900E-8	2.458900E-6	2.446531E-6
2.100000E+2	1.065800E-8	2.468800E-6	2.458142E-6
2.100000E+2	1.151700E-8	2.480200E-6	2.468683E-6
2.100000E+2	1.237000E-8	2.497500E-6	2.485130E-6
#Cell=As
#AsShutter=open
#AsSUB=	4.000000E+2
#AsCracker=	8.500000E+2
#AsValve	mBG	mP	BEP
2.250000E+2	1.321000E-8	3.158800E-6	3.145590E-6
2.250000E+2	1.574000E-8	3.164700E-6	3.148960E-6
2.250000E+2	1.390700E-8	3.162500E-6	3.148593E-6
2.250000E+2	1.483100E-8	3.169400E-6	3.154569E-6
2.350000E+2	1.584900E-8	3.522000E-6	3.506151E-6
2.350000E+2	1.788900E-8	3.524700E-6	3.506811E-6
2.350000E+2	1.916700E-8	3.625000E-6	3.605833E-6
2.350000E+2	2.050400E-8	3.628500E-6	3.607996E-6
2.450000E+2	1.687300E-8	3.987400E-6	3.970527E-6
2.450000E+2	1.870300E-8	3.975800E-6	3.957097E-6
2.450000E+2	2.000100E-8	3.961200E-6	3.941199E-6
2.450000E+2	2.117900E-8	3.955500E-6	3.934321E-6
