Time	Substrate Temperature	Substrate Setpoint	Substrate Output	Substrate Rotation Temperature	Substrate Rotation Setpoint	Substrate Rotation Output	Substrate Position Temperature	Substrate Position Setpoint	Substrate Position Output	Buffer HTS Temperature	Buffer HTS Setpoint	Buffer HTS Output	LC Lamp Temperature	LC Lamp Setpoint	LC Lamp Output	In Base Temperature	In Base Setpoint	In Base Output	In Tip Temperature	In Tip Setpoint	In Tip Output	Ga Base Temperature	Ga Base Setpoint	Ga Base Output	Ga Tip Temperature	Ga Tip Setpoint	Ga Tip Output	Al Base Temperature	Al Base Setpoint	Al Base Output	Er Temperature	Er Setpoint	Er Output	GaTe Temperature	GaTe Setpoint	GaTe Output	Si Temperature	Si Setpoint	Si Output	Be Temperature	Be Setpoint	Be Output	Bi Base Temperature	Bi Base Setpoint	Bi Base Output	Bi Tip Temperature	Bi Tip Setpoint	Bi Tip Output	As SUB Temperature	As SUB Setpoint	As SUB Output	As Cracker Temperature	As Cracker Setpoint	As Cracker Output	As Valve Temperature	As Valve Setpoint	As Valve Output	Sb SUB Temperature	Sb SUB Setpoint	Sb SUB Output	Sb Cracker Temperature	Sb Cracker Setpoint	Sb Cracker Output	Sb Valve Temperature	Sb Valve Setpoint	Sb Valve Output	AHS Temperature	AHS Setpoint	AHS Output	DD Be Temperature	DD Be Setpoint	DD Be Output	BOS Temperature	BOS Setpoint	BOS Output	SF1 Temperature	SF1 Setpoint	SF1 Output	SF2 Temperature	SF2 Setpoint	SF2 Output	BOS1 Temperature	BOS1 Setpoint	BOS1 Output	BOS2 Temperature	BOS2 Setpoint	BOS2 Output	Growth Chamber Pressure	Beam Flux	BandiT temperature	Buffer Chamber Pressure	Load Chamber Pressure	BOS Pressure	DopantWaterFlow	LC Turbo Backing Pump	Plasma Intensity	Pirani BM 2	Pirani GC 1	Pirani GC 2	CAR Cryo	Source Flange Cryo	CAR GV	Source Flange GV	BOS Cryo	AluminumInterlock	Shutters	Comments
3567688961	200.0	200.0	5.7	---	---	---	---	---	---	261.4	122.9	0.0	25.5	10.0	0.0	233.2	175.0	0.0	349.9	350.0	8.0	902.6	902.5	17.5	1052.5	1052.5	38.2	1132.5	1132.5	24.0	400.0	400.0	6.3	99.7	100.0	1.6	350.0	350.0	3.0	350.0	350.0	4.9	306.8	300.0	0.0	350.1	350.0	9.7	399.9	400.0	46.5	850.0	850.0	18.4	0.00	---	---	568.6	568.6	71.8	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1.97E-10	1.8965E-10	-1.5	6.75E-9	5.25E-9	1.00E-11	0.00	7.46E-3	-4.24E-4	1.011E+1	4.855E-1	1.000E-15	16.90	15.87	NaN	NaN	---	-2.45E-4	all shutters closed	As fluxes
3567688970	200.0	200.0	5.9	---	---	---	---	---	---	259.6	118.3	0.0	25.4	10.0	0.0	233.3	175.0	0.0	350.0	350.0	7.9	902.4	902.5	18.2	1052.4	1052.5	38.2	1132.5	1132.5	23.9	400.1	400.0	6.2	100.0	100.0	1.3	350.0	350.0	2.9	349.9	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.6	399.8	400.0	46.7	850.0	850.0	18.5	0.00	---	---	568.6	568.6	72.2	900.1	900.0	20.7	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1.97E-10	1.8965E-10	-1.5	6.75E-9	5.25E-9	1.00E-11	0.00	7.41E-3	-5.12E-4	1.010E+1	4.854E-1	1.000E-15	16.88	16.10	NaN	NaN	---	-2.45E-4	In,Ga	As fluxes
3567688984	200.1	200.0	5.9	---	---	---	---	---	---	256.8	109.4	0.0	25.4	10.0	0.0	233.2	175.0	0.0	350.0	350.0	8.0	902.6	902.5	17.8	1052.6	1052.5	38.2	1132.5	1132.5	24.0	400.0	400.0	6.2	100.5	100.0	1.1	350.0	350.0	2.9	350.0	350.0	4.9	306.8	300.0	0.0	350.0	350.0	10.0	399.9	400.0	46.4	850.1	850.0	18.4	0.00	---	---	568.7	568.6	72.0	900.1	900.0	20.8	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	2.04E-10	2.0996E-8	-1.5	6.70E-9	5.24E-9	1.00E-11	0.00	7.42E-3	-2.46E-4	1.011E+1	4.853E-1	1.000E-15	16.44	15.92	NaN	NaN	---	-2.27E-4	all shutters closed	As fluxes
3567689037	200.1	200.0	5.7	---	---	---	---	---	---	249.0	86.7	0.0	25.4	10.0	0.0	233.1	175.0	0.0	350.0	350.0	8.2	902.5	902.5	17.0	1052.5	1052.5	38.2	1132.5	1132.5	23.9	400.0	400.0	6.4	100.0	100.0	1.3	350.0	350.0	2.9	350.0	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.5	400.0	400.0	46.5	850.0	850.0	18.5	0.00	---	---	568.5	568.6	72.1	899.9	900.0	20.7	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1.99E-10	1.9033E-10	-1.5	6.60E-9	5.23E-9	1.00E-11	0.00	7.49E-3	-4.42E-4	1.011E+1	4.855E-1	1.000E-15	15.59	15.86	NaN	NaN	---	-1.72E-4	all shutters closed	As fluxes
3567689044	200.1	200.0	5.6	---	---	---	---	---	---	247.3	82.2	0.0	25.3	10.0	0.0	233.3	175.0	0.0	350.0	350.0	7.9	902.6	902.5	17.3	1052.4	1052.5	38.3	1132.5	1132.5	23.8	399.9	400.0	6.3	99.8	100.0	1.2	350.0	350.0	2.9	350.0	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.6	400.0	400.0	46.2	850.1	850.0	18.4	0.00	---	---	568.6	568.6	71.9	899.9	900.0	20.9	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	2.10E-10	4.3238E-7	-1.5	6.58E-9	5.23E-9	1.00E-11	0.00	7.49E-3	-4.42E-4	1.011E+1	4.855E-1	1.000E-15	16.36	16.09	NaN	NaN	---	-1.96E-4	Al,Ga	As fluxes
3567689059	200.2	200.0	5.5	---	---	---	---	---	---	245.6	73.1	0.0	25.4	10.0	0.0	233.2	175.0	0.0	350.1	350.0	7.8	902.2	902.5	17.9	1052.6	1052.5	38.1	1132.5	1132.5	23.9	399.9	400.0	6.4	99.3	100.0	1.7	350.0	350.0	2.9	350.0	350.0	4.9	306.9	300.0	0.0	350.0	350.0	9.9	400.0	400.0	46.4	850.0	850.0	18.4	0.00	---	---	568.5	568.6	72.2	900.0	900.0	20.9	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	2.18E-10	4.5527E-7	-1.5	6.55E-9	5.23E-9	1.00E-11	0.00	7.40E-3	-2.88E-4	1.010E+1	4.857E-1	1.000E-15	16.30	16.09	NaN	NaN	---	-2.30E-4	all shutters closed	As fluxes
3567689074	200.2	200.0	5.4	---	---	---	---	---	---	243.1	64.1	0.0	25.3	10.0	0.0	233.2	175.0	0.0	350.0	350.0	7.9	902.6	902.5	17.2	1052.5	1052.5	38.3	1132.5	1132.5	24.1	400.0	400.0	6.3	99.3	100.0	1.7	350.0	350.0	3.0	350.1	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.8	400.1	400.0	46.1	850.0	850.0	18.4	0.00	---	---	568.6	568.6	72.3	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	2.07E-10	2.5084E-10	-1.5	6.52E-9	5.23E-9	1.00E-11	0.00	7.41E-3	-3.03E-4	1.011E+1	4.857E-1	1.000E-15	15.34	15.91	NaN	NaN	---	-5.39E-4	all shutters closed	As fluxes
3567689090	199.9	200.0	5.9	---	---	---	---	---	---	240.7	59.5	0.0	25.4	10.0	0.0	233.1	175.0	0.0	349.9	350.0	7.8	902.6	902.5	17.3	1052.4	1052.5	38.2	1132.5	1132.5	23.9	400.1	400.0	6.3	99.6	100.0	1.6	350.0	350.0	2.9	350.0	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.6	400.0	400.0	47.1	850.0	850.0	18.5	200.00	---	---	568.6	568.6	72.0	900.0	900.0	20.9	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	1.42E-9	9.3119E-7	-1.5	6.48E-9	5.23E-9	1.00E-11	0.00	7.47E-3	-3.69E-4	1.011E+1	4.857E-1	1.000E-15	15.00	15.88	NaN	NaN	---	-2.23E-4	As	As fluxes
3567689104	199.8	200.0	6.1	---	---	---	---	---	---	238.4	50.5	0.0	25.4	10.0	0.0	233.1	175.0	0.0	350.0	350.0	7.8	902.5	902.5	17.4	1052.4	1052.5	38.1	1132.5	1132.5	24.1	400.0	400.0	6.2	99.9	100.0	1.4	349.9	350.0	3.0	350.0	350.0	4.9	306.8	300.0	0.0	350.0	350.0	9.6	399.4	400.0	47.7	850.1	850.0	18.4	200.00	---	---	568.6	568.6	72.2	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.5	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.10E-9	1.8702E-6	-1.5	6.46E-9	5.22E-9	1.00E-11	0.00	7.49E-3	-3.18E-4	1.011E+1	4.861E-1	1.000E-15	14.83	15.87	NaN	NaN	---	-3.24E-4	As	As fluxes
3567689119	199.7	200.0	6.0	---	---	---	---	---	---	236.8	41.4	0.0	25.4	10.0	0.0	233.1	175.0	0.0	350.1	350.0	8.0	902.6	902.5	16.7	1052.5	1052.5	38.2	1132.5	1132.5	24.1	400.0	400.0	6.3	100.5	100.0	1.3	350.0	350.0	3.0	349.9	350.0	4.9	306.7	300.0	0.0	350.0	350.0	9.5	400.1	400.0	46.6	849.9	850.0	18.5	0.00	---	---	568.6	568.6	72.0	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.4	350.1	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	4.13E-9	8.9584E-7	-1.5	6.44E-9	5.22E-9	1.00E-11	0.00	7.52E-3	-2.65E-4	1.010E+1	4.861E-1	1.000E-15	16.58	15.92	NaN	NaN	---	-3.91E-4	Al,Ga	As fluxes
