**************************************************************
#Cell=As
#AsShutter=open
#AsValve	mBG	mP	BEP
2.550000E+2	6.253100E-10	3.803900E-6	3.803275E-6
2.550000E+2	1.331300E-8	4.138900E-6	4.125587E-6
2.550000E+2	1.657300E-8	4.303100E-6	4.286527E-6
2.550000E+2	2.197800E-8	4.439900E-6	4.417922E-6
2.400000E+2	2.223900E-8	3.903500E-6	3.881261E-6
2.400000E+2	2.116300E-8	3.990200E-6	3.969037E-6
2.400000E+2	2.449000E-8	4.089500E-6	4.065010E-6
2.400000E+2	2.379500E-8	4.042300E-6	4.018505E-6
2.250000E+2	2.389800E-8	3.529900E-6	3.506002E-6
2.250000E+2	2.202700E-8	3.596000E-6	3.573973E-6
2.250000E+2	2.401400E-8	3.575600E-6	3.551586E-6
2.250000E+2	2.317100E-8	3.735000E-6	3.711829E-6
2.100000E+2	2.088200E-8	2.873300E-6	2.852418E-6
2.100000E+2	2.269600E-8	2.913400E-6	2.890704E-6
2.100000E+2	2.174600E-8	2.872300E-6	2.850554E-6
2.100000E+2	2.118200E-8	2.875900E-6	2.854718E-6
