#Cell=Al
#T	BG	P	BEP
1.155000E+3	4.721700E-10	1.390800E-7	1.386078E-7
1.155000E+3	4.623700E-10	1.390100E-7	1.385476E-7
1.155000E+3	4.598500E-10	1.390000E-7	1.385401E-7
1.155000E+3	4.711200E-10	1.389600E-7	1.384889E-7
1.155000E+3	4.617300E-10	1.389400E-7	1.384783E-7
1.155000E+3	4.591100E-10	1.389200E-7	1.384609E-7
1.155000E+3	4.594900E-10	1.389500E-7	1.384905E-7
1.155000E+3	4.594900E-10	1.389200E-7	1.384605E-7
1.155000E+3	4.539400E-10	1.389200E-7	1.384661E-7
1.152628E+3	4.166400E-10	1.329600E-7	1.325434E-7
1.152628E+3	4.066200E-10	1.329600E-7	1.325534E-7
1.152628E+3	3.977100E-10	1.328800E-7	1.324823E-7
1.152628E+3	4.118500E-10	1.328600E-7	1.324482E-7
1.152628E+3	4.019500E-10	1.329200E-7	1.325180E-7
1.152628E+3	3.973300E-10	1.328400E-7	1.324427E-7
1.152628E+3	4.139400E-10	1.329500E-7	1.325361E-7
1.152628E+3	4.056000E-10	1.329000E-7	1.324944E-7
1.152628E+3	3.978400E-10	1.329100E-7	1.325122E-7
1.152847E+3	3.804500E-10	1.324700E-7	1.320895E-7
1.152847E+3	3.862600E-10	1.325100E-7	1.321237E-7
1.152847E+3	3.738000E-10	1.324200E-7	1.320462E-7
1.152847E+3	3.849800E-10	1.325100E-7	1.321250E-7
1.152847E+3	3.804300E-10	1.324900E-7	1.321096E-7
1.152847E+3	3.696100E-10	1.325500E-7	1.321804E-7
1.152847E+3	3.956300E-10	1.322600E-7	1.318644E-7
1.152847E+3	3.911500E-10	1.336800E-7	1.332888E-7
1.152847E+3	3.831500E-10	1.341900E-7	1.338069E-7
1.153109E+3	3.681500E-10	1.337600E-7	1.333918E-7
1.153109E+3	3.680500E-10	1.337200E-7	1.333519E-7
1.153109E+3	3.602100E-10	1.337100E-7	1.333498E-7
1.153109E+3	3.732000E-10	1.336000E-7	1.332268E-7
1.153109E+3	3.757100E-10	1.337200E-7	1.333443E-7
1.153109E+3	3.613200E-10	1.338300E-7	1.334687E-7
1.153109E+3	3.753800E-10	1.336000E-7	1.332246E-7
1.153109E+3	3.601400E-10	1.336700E-7	1.333099E-7
1.153109E+3	3.499100E-10	1.335400E-7	1.331901E-7
