#Cell=As
#AsShutter=open
#AsSUB=	4.000000E+2
#AsCracker=	8.500000E+2
#AsValve	mBG	mP	BEP
1.700000E+2	8.917700E-10	9.537500E-7	9.528582E-7
1.700000E+2	8.137900E-9	9.982100E-7	9.900721E-7
1.700000E+2	9.576100E-9	1.016200E-6	1.006624E-6
1.700000E+2	1.121200E-8	1.022400E-6	1.011188E-6
1.800000E+2	1.139100E-8	1.301400E-6	1.290009E-6
1.800000E+2	1.082000E-8	1.305700E-6	1.294880E-6
1.800000E+2	1.466300E-8	1.313300E-6	1.298637E-6
1.800000E+2	1.188200E-8	1.314300E-6	1.302418E-6
1.900000E+2	1.215900E-8	1.610300E-6	1.598141E-6
1.900000E+2	1.338900E-8	1.625200E-6	1.611811E-6
1.900000E+2	1.388600E-8	1.628200E-6	1.614314E-6
1.900000E+2	1.421900E-8	1.629900E-6	1.615681E-6
2.000000E+2	1.773500E-8	1.976800E-6	1.959065E-6
2.000000E+2	1.958000E-8	1.987800E-6	1.968220E-6
2.000000E+2	2.008400E-8	2.000600E-6	1.980516E-6
2.000000E+2	2.047500E-8	2.006700E-6	1.986225E-6
