#Cell=Ga
#T	BG	P	BEP
1.031000E+3	4.288300E-10	2.338500E-7	2.334212E-7
1.031000E+3	4.262600E-10	2.337800E-7	2.333537E-7
1.031000E+3	4.221700E-10	2.339800E-7	2.335578E-7
1.031000E+3	4.317100E-10	2.341000E-7	2.336683E-7
1.031000E+3	4.246100E-10	2.339200E-7	2.334954E-7
1.031000E+3	4.172700E-10	2.340700E-7	2.336527E-7
1.031000E+3	4.357800E-10	2.339900E-7	2.335542E-7
1.031000E+3	4.357800E-10	2.339900E-7	2.335542E-7
1.031000E+3	4.273300E-10	2.339900E-7	2.335627E-7
1.032252E+3	3.898100E-10	2.399200E-7	2.395302E-7
1.032252E+3	3.844800E-10	2.399100E-7	2.395255E-7
1.032252E+3	3.855300E-10	2.397000E-7	2.393145E-7
1.032252E+3	4.054100E-10	2.398200E-7	2.394146E-7
1.032252E+3	4.039700E-10	2.399200E-7	2.395160E-7
1.032252E+3	4.041000E-10	2.398700E-7	2.394659E-7
1.032252E+3	4.174400E-10	2.399500E-7	2.395326E-7
1.032252E+3	4.070200E-10	2.400900E-7	2.396830E-7
1.032252E+3	4.070200E-10	2.400200E-7	2.396130E-7
1.032346E+3	3.871600E-10	2.403100E-7	2.399228E-7
1.032346E+3	3.854000E-10	2.402000E-7	2.398146E-7
1.032346E+3	3.837300E-10	2.402500E-7	2.398663E-7
1.032346E+3	3.850600E-10	2.406200E-7	2.402349E-7
1.032346E+3	3.731400E-10	2.404000E-7	2.400269E-7
1.032346E+3	3.745400E-10	2.400400E-7	2.396655E-7
1.032346E+3	3.775800E-10	2.403400E-7	2.399624E-7
1.032346E+3	3.775800E-10	2.404000E-7	2.400224E-7
1.032346E+3	3.712000E-10	2.404000E-7	2.400288E-7
1.032356E+3	3.582400E-10	2.412000E-7	2.408418E-7
1.032356E+3	3.476100E-10	2.411700E-7	2.408224E-7
1.032356E+3	3.417000E-10	2.412800E-7	2.409383E-7
1.032356E+3	3.657700E-10	2.418300E-7	2.414642E-7
1.032356E+3	3.595200E-10	2.417700E-7	2.414105E-7
1.032356E+3	3.592600E-10	2.417400E-7	2.413807E-7
1.032356E+3	3.671400E-10	2.416600E-7	2.412929E-7
1.032356E+3	3.697000E-10	2.415200E-7	2.411503E-7
1.032356E+3	3.697000E-10	2.413300E-7	2.409603E-7
