#Cell=In
#T	BG	P	BEP
9.070000E+2	3.984100E-10	3.323700E-7	3.319716E-7
9.070000E+2	3.986400E-10	3.330500E-7	3.326514E-7
9.070000E+2	3.849100E-10	3.341800E-7	3.337951E-7
9.070000E+2	4.075700E-10	3.349300E-7	3.345224E-7
9.070000E+2	4.073400E-10	3.342500E-7	3.338427E-7
9.070000E+2	4.058400E-10	3.336400E-7	3.332342E-7
9.070000E+2	4.105800E-10	3.344400E-7	3.340294E-7
9.070000E+2	4.105800E-10	3.338100E-7	3.333994E-7
9.070000E+2	3.984400E-10	3.338100E-7	3.334116E-7
9.080903E+2	3.832600E-10	3.412100E-7	3.408267E-7
9.080903E+2	3.799600E-10	3.400700E-7	3.396900E-7
9.080903E+2	3.804000E-10	3.436400E-7	3.432596E-7
9.080903E+2	3.789200E-10	3.413800E-7	3.410011E-7
9.080903E+2	3.722400E-10	3.420600E-7	3.416878E-7
9.080903E+2	3.635800E-10	3.404700E-7	3.401064E-7
9.080903E+2	3.924700E-10	3.425500E-7	3.421575E-7
9.080903E+2	3.924700E-10	3.423200E-7	3.419275E-7
9.080903E+2	3.810600E-10	3.423200E-7	3.419389E-7
9.081295E+2	3.522600E-10	3.398000E-7	3.394477E-7
9.081295E+2	3.547900E-10	3.416000E-7	3.412452E-7
9.081295E+2	3.451800E-10	3.402600E-7	3.399148E-7
9.081295E+2	3.647700E-10	3.411700E-7	3.408052E-7
9.081295E+2	3.622600E-10	3.415800E-7	3.412177E-7
9.081295E+2	3.533300E-10	3.425800E-7	3.422267E-7
9.081295E+2	3.772800E-10	3.413600E-7	3.409827E-7
9.081295E+2	3.772800E-10	3.426000E-7	3.422227E-7
9.081295E+2	3.785200E-10	3.426000E-7	3.422215E-7
9.082022E+2	3.552500E-10	3.423300E-7	3.419747E-7
9.082022E+2	3.402500E-10	3.417600E-7	3.414197E-7
9.082022E+2	3.441500E-10	3.434500E-7	3.431058E-7
9.082022E+2	3.557700E-10	3.439600E-7	3.436042E-7
9.082022E+2	3.461600E-10	3.412500E-7	3.409038E-7
9.082022E+2	3.461600E-10	3.374500E-7	3.371038E-7
9.082022E+2	3.504300E-10	3.425400E-7	3.421896E-7
9.082022E+2	3.420500E-10	3.425400E-7	3.421980E-7
9.082022E+2	3.493400E-10	3.426700E-7	3.423207E-7
