#Cell=Sb
#SbShutter=open
#SbSUB=	7.200000E+1
#SbCracker=	9.000000E+2
#SbValve	mBG	mP	BEP
1.900000E+2	4.354600E-10	1.347000E-6	1.346565E-6
1.900000E+2	8.407900E-10	1.343600E-6	1.342759E-6
1.900000E+2	1.021900E-9	1.362300E-6	1.361278E-6
1.900000E+2	9.893600E-10	1.367800E-6	1.366811E-6
2.000000E+2	1.087900E-9	1.470200E-6	1.469112E-6
2.000000E+2	1.167800E-9	1.476400E-6	1.475232E-6
2.000000E+2	1.229200E-9	1.465500E-6	1.464271E-6
2.000000E+2	1.282600E-9	1.466700E-6	1.465417E-6
2.100000E+2	1.333000E-9	1.549900E-6	1.548567E-6
2.100000E+2	1.399100E-9	1.560600E-6	1.559201E-6
2.100000E+2	1.465100E-9	1.575200E-6	1.573735E-6
2.100000E+2	1.486400E-9	1.560400E-6	1.558914E-6
2.200000E+2	1.547100E-9	1.678500E-6	1.676953E-6
2.200000E+2	1.605700E-9	1.655900E-6	1.654294E-6
2.200000E+2	1.641100E-9	1.648200E-6	1.646559E-6
2.200000E+2	1.643100E-9	1.676500E-6	1.674857E-6
