Time	Substrate Temperature	Substrate Setpoint	Substrate Output	Substrate Rotation Temperature	Substrate Rotation Setpoint	Substrate Rotation Output	Substrate Position Temperature	Substrate Position Setpoint	Substrate Position Output	Buffer HTS Temperature	Buffer HTS Setpoint	Buffer HTS Output	LC Lamp Temperature	LC Lamp Setpoint	LC Lamp Output	In Base Temperature	In Base Setpoint	In Base Output	In Tip Temperature	In Tip Setpoint	In Tip Output	Ga Base Temperature	Ga Base Setpoint	Ga Base Output	Ga Tip Temperature	Ga Tip Setpoint	Ga Tip Output	Al Base Temperature	Al Base Setpoint	Al Base Output	Er Temperature	Er Setpoint	Er Output	GaTe Temperature	GaTe Setpoint	GaTe Output	Si Temperature	Si Setpoint	Si Output	Be Temperature	Be Setpoint	Be Output	Bi Base Temperature	Bi Base Setpoint	Bi Base Output	Bi Tip Temperature	Bi Tip Setpoint	Bi Tip Output	As SUB Temperature	As SUB Setpoint	As SUB Output	As Cracker Temperature	As Cracker Setpoint	As Cracker Output	As Valve Temperature	As Valve Setpoint	As Valve Output	Sb SUB Temperature	Sb SUB Setpoint	Sb SUB Output	Sb Cracker Temperature	Sb Cracker Setpoint	Sb Cracker Output	Sb Valve Temperature	Sb Valve Setpoint	Sb Valve Output	AHS Temperature	AHS Setpoint	AHS Output	DD Be Temperature	DD Be Setpoint	DD Be Output	BOS Temperature	BOS Setpoint	BOS Output	SF1 Temperature	SF1 Setpoint	SF1 Output	SF2 Temperature	SF2 Setpoint	SF2 Output	BOS1 Temperature	BOS1 Setpoint	BOS1 Output	BOS2 Temperature	BOS2 Setpoint	BOS2 Output	Growth Chamber Pressure	Beam Flux	BandiT temperature	Buffer Chamber Pressure	Load Chamber Pressure	BOS Pressure	DopantWaterFlow	LC Turbo Backing Pump	Plasma Intensity	Pirani BM 2	Pirani GC 1	Pirani GC 2	CAR Cryo	Source Flange Cryo	CAR GV	Source Flange GV	BOS Cryo	AluminumInterlock	Shutters	Comments
3568335074	200.0	200.0	5.9	---	---	---	---	---	---	22.6	10.0	0.0	19.9	10.0	0.0	234.1	175.0	0.0	350.0	350.0	8.1	273.1	200.0	0.0	350.1	350.0	8.5	800.0	800.0	14.3	399.9	400.0	6.3	99.2	100.0	1.9	350.0	350.0	2.9	350.0	350.0	4.9	308.4	300.0	0.0	350.0	350.0	9.4	400.0	400.0	46.7	850.0	850.0	18.5	2.10	---	---	566.4	566.4	72.2	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.56E-10	3.1363E-10	-1.4	3.44E-9	1.01E-6	1.00E-11	0.00	1.92E-2	-2.81E-4	1.016E+1	1.516E+0	1.000E-15	15.97	16.13	NaN	NaN	---	2.46E-4	all shutters closed	Growth complete
3568335087	200.0	200.0	6.0	---	---	---	---	---	---	22.6	10.0	0.0	19.9	10.0	0.0	234.1	175.0	0.0	350.0	350.0	7.9	273.0	200.0	0.0	350.1	350.0	8.5	800.0	800.0	14.2	400.0	400.0	6.3	99.1	100.0	1.9	350.0	350.0	2.9	350.0	350.0	4.9	308.4	300.0	0.0	350.0	350.0	9.7	400.0	400.0	46.5	850.0	850.0	18.4	2.00	---	---	566.4	566.4	72.2	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.58E-10	3.1063E-10	-1.5	3.43E-9	9.11E-7	1.00E-11	0.00	1.88E-2	-2.54E-4	1.017E+1	1.516E+0	1.000E-15	16.53	16.09	NaN	NaN	---	1.91E-4	all shutters closed	Growth complete
3568335102	200.0	200.0	5.9	---	---	---	---	---	---	22.6	10.0	0.0	20.0	10.0	0.0	234.1	175.0	0.0	349.9	350.0	8.4	273.0	200.0	0.0	350.2	350.0	8.5	800.0	800.0	14.3	400.0	400.0	6.3	99.4	100.0	1.8	350.0	350.0	2.9	350.1	350.0	4.9	308.3	300.0	0.0	350.0	350.0	9.5	400.0	400.0	46.8	850.1	850.0	18.4	2.00	---	---	566.4	566.4	72.2	900.0	900.0	20.7	0.10	---	---	1.0	1.0	1.4	350.0	350.0	2.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.53E-10	3.1296E-10	-1.5	3.44E-9	8.67E-7	1.00E-11	0.00	1.81E-2	-3.27E-4	1.017E+1	1.516E+0	1.000E-15	16.03	15.81	NaN	NaN	---	2.72E-4	all shutters closed	Growth complete
3568335117	200.0	200.0	5.9	---	---	---	---	---	---	22.6	10.0	0.0	20.0	10.0	0.0	234.1	175.0	0.0	350.0	350.0	8.0	273.0	200.0	0.0	350.1	350.0	8.5	800.0	800.0	14.3	400.0	400.0	6.3	100.2	100.0	1.0	350.0	350.0	2.9	350.1	350.0	4.9	308.3	300.0	0.0	350.0	350.0	9.9	400.1	400.0	46.6	850.1	850.0	18.4	2.10	---	---	566.4	566.4	72.0	900.0	900.0	20.8	0.10	---	---	1.0	1.0	1.4	350.1	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.53E-10	3.0653E-10	-1.4	3.44E-9	8.31E-7	1.00E-11	0.00	1.78E-2	-1.99E-4	1.017E+1	1.517E+0	1.000E-15	15.18	15.76	NaN	NaN	---	2.24E-4	all shutters closed	Growth complete
3568335132	200.0	200.0	5.9	---	---	---	---	---	---	22.6	10.0	0.0	20.1	10.0	0.0	234.1	175.0	0.0	350.0	350.0	8.0	273.2	200.0	0.0	350.0	350.0	8.5	800.0	800.0	14.3	400.0	400.0	6.2	100.5	100.0	0.9	350.0	350.0	2.9	349.9	350.0	4.9	308.3	300.0	0.0	350.0	350.0	9.6	400.0	400.0	46.8	850.0	850.0	18.5	2.00	---	---	566.4	566.4	72.1	900.1	900.0	20.7	0.10	---	---	1.0	1.0	1.4	350.0	350.0	2.9	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.49E-10	3.1361E-10	-1.4	3.43E-9	8.00E-7	1.00E-11	0.00	1.75E-2	-3.92E-4	1.017E+1	1.516E+0	1.000E-15	14.94	16.13	NaN	NaN	---	2.65E-4	all shutters closed	Growth complete
3568335147	200.0	200.0	5.8	---	---	---	---	---	---	22.6	10.0	0.0	20.0	10.0	0.0	234.0	175.0	0.0	350.0	350.0	7.8	273.2	200.0	0.0	350.1	350.0	8.4	800.0	800.0	14.4	400.0	400.0	6.4	100.8	100.0	1.0	350.0	350.0	2.9	350.0	350.0	4.9	308.2	300.0	0.0	350.0	350.0	9.9	400.0	400.0	46.6	850.0	850.0	18.4	2.00	---	---	566.3	566.4	72.5	900.0	900.0	20.7	0.10	---	---	1.0	1.0	1.4	350.0	350.0	2.7	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.48E-10	3.0707E-10	-1.4	3.43E-9	7.53E-7	1.00E-11	0.00	1.69E-2	-2.40E-4	1.017E+1	1.516E+0	1.000E-15	14.72	15.99	NaN	NaN	---	2.50E-4	all shutters closed	Growth complete
3568335162	200.0	200.0	6.1	---	---	---	---	---	---	22.6	10.0	0.0	20.1	10.0	0.0	234.1	175.0	0.0	350.1	350.0	8.1	273.1	200.0	0.0	350.0	350.0	8.4	800.0	800.0	14.1	400.0	400.0	6.3	100.7	100.0	0.9	350.0	350.0	2.9	350.0	350.0	4.9	308.2	300.0	0.0	350.0	350.0	9.5	400.0	400.0	46.9	850.0	850.0	18.5	2.00	---	---	566.3	566.4	72.2	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.47E-10	3.0336E-10	-1.4	3.43E-9	7.32E-7	1.00E-11	0.00	1.66E-2	-3.18E-4	1.017E+1	1.516E+0	1.000E-15	15.28	15.91	NaN	NaN	---	2.13E-4	all shutters closed	Growth complete
3568335177	200.1	200.0	5.6	---	---	---	---	---	---	22.6	10.0	0.0	20.2	10.0	0.0	234.0	175.0	0.0	350.0	350.0	8.2	273.1	200.0	0.0	349.9	350.0	8.5	799.9	800.0	14.4	400.0	400.0	6.3	100.2	100.0	0.9	349.9	350.0	2.9	350.1	350.0	4.9	308.2	300.0	0.0	350.0	350.0	9.6	400.1	400.0	46.5	850.0	850.0	18.5	2.00	---	---	566.3	566.4	72.3	900.0	900.0	20.6	0.00	---	---	1.0	1.0	1.4	350.1	350.0	2.8	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.44E-10	2.9206E-10	-1.4	3.43E-9	7.13E-7	1.00E-11	0.00	1.64E-2	-5.08E-4	1.017E+1	1.516E+0	1.000E-15	15.94	15.98	NaN	NaN	---	2.05E-4	all shutters closed	Growth complete
3568335192	200.0	200.0	5.8	---	---	---	---	---	---	22.6	10.0	0.0	20.1	10.0	0.0	234.1	175.0	0.0	350.0	350.0	8.0	273.1	200.0	0.0	349.8	350.0	8.6	800.0	800.0	14.3	400.0	400.0	6.3	99.8	100.0	1.6	350.0	350.0	2.9	350.0	350.0	4.9	308.2	300.0	0.0	350.0	350.0	9.7	400.0	400.0	46.6	849.9	850.0	18.5	2.00	---	---	566.4	566.4	72.3	900.0	900.0	20.7	0.10	---	---	1.0	1.0	1.4	350.0	350.0	2.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.36E-10	3.0651E-10	-1.4	3.43E-9	6.78E-7	1.00E-11	0.00	1.62E-2	-6.15E-4	1.017E+1	1.517E+0	1.000E-15	15.78	16.05	NaN	NaN	---	2.30E-4	all shutters closed	Growth complete
3568335207	200.0	200.0	5.8	---	---	---	---	---	---	22.5	10.0	0.0	20.2	10.0	0.0	234.2	175.0	0.0	350.0	350.0	8.1	273.1	200.0	0.0	349.9	350.0	8.5	800.0	800.0	14.3	400.0	400.0	6.4	99.2	100.0	1.8	350.0	350.0	2.9	350.0	350.0	4.9	308.1	300.0	0.0	350.1	350.0	9.5	400.0	400.0	46.7	850.0	850.0	18.4	2.00	---	---	566.4	566.4	72.4	900.0	900.0	20.8	0.00	---	---	1.0	1.0	1.4	350.0	350.0	2.6	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	3.38E-10	2.9746E-10	-1.4	3.43E-9	6.62E-7	1.00E-11	0.00	1.56E-2	-3.02E-4	1.017E+1	1.516E+0	1.000E-15	15.33	15.78	NaN	NaN	---	7.95E-5	all shutters closed	Growth complete
